,code,year,hospital_stay_length,med_tech_availability_p_mil_ppl,expenditure_per_capita,life_expectancy,avoidable_deaths,health_expenditure_as_percent_gdp
147,DEU,2012,8.566442953020134,627.2588888888889,4765.67871094,80.5390243902439,124617.5,10.853
148,DEU,2013,8.509395973154362,628.9250000000001,5100.15234375,80.490243902439,125346.5,10.999
149,DEU,2014,8.385234899328859,661.6816666666667,5309.15478516,81.090243902439,119942.0,11.026
150,DEU,2015,8.309395973154363,693.1038888888888,4627.35791016,80.6414634146341,29992.0,11.19
151,DEU,2016,8.187248322147651,706.0272222222222,4746.87011719,80.990243902439,29011.0,11.242
152,DEU,2017,8.178523489932886,709.1433333333334,5070.19580078,80.9926829268293,28362.0,11.326
153,DEU,2018,8.203355704697987,654.754,5511.21435547,80.8926829268293,28531.5,11.473
154,DEU,2019,8.341721854304636,657.0635,5486.98876953,81.2926829268293,115278.0,11.716
155,DNK,2001,7.674324324324324,13.186666666666667,2603.0,76.7926829268293,320.8,8.448
156,DNK,2002,7.215540540540541,16.389090909090907,2896.0,76.8951219512195,311.0,8.703
157,DNK,2003,7.062162162162163,17.353636363636365,3607.0,77.1439024390244,303.0,8.904
158,DNK,2004,6.813513513513514,20.778666666666666,4195.0,77.4926829268293,292.7,9.007
159,DNK,2005,6.571621621621621,21.244666666666667,4443.0,77.8439024390244,281.1,9.091
160,DNK,2006,6.3389261744966445,22.654,4779.0,78.0951219512195,279.0,9.169
161,DNK,2007,6.25503355704698,24.532999999999998,5468.0,78.1951219512195,264.4,9.325
162,DNK,2008,6.332885906040269,29.712,6138.0,78.4463414634146,120.0,9.511
163,DNK,2009,5.803355704697986,33.0075,6222.0,78.5975609756098,116.9,10.674
164,DNK,2010,5.528187919463087,43.28111111111111,6171.0,79.1,238.7,10.591
165,DNK,2011,5.3986577181208055,36.410666666666664,6438.0,79.8,221.2,10.388
166,DNK,2012,5.291946308724833,72.70333333333333,6168.0,80.0512195121951,216.9,10.506
167,DNK,2013,5.139597315436242,39.904666666666664,6334.0,80.3,206.8,10.31
168,DNK,2014,5.058389261744966,39.87133333333333,6467.0,80.7,201.8,10.292
169,DNK,2015,4.936912751677852,40.459,5532.0,80.7024390243902,155.1,10.328
170,DNK,2016,4.928859060402685,41.42733333333333,5624.0,80.8536585365854,155.5,10.237
171,ESP,2000,10.302272727272728,133.07625,1005.28399658,78.9658536585366,61055.0,6.799
172,ESP,2001,8.453623188405796,140.6175,1045.05065918,79.3682926829268,59853.0,6.769
173,ESP,2002,8.546376811594204,146.83625,1174.5793457,79.5682926829268,59202.5,6.801
174,ESP,2003,8.57391304347826,168.398,1640.91772461,79.619512195122,59380.5,7.563
175,ESP,2004,8.027397260273972,175.80900000000003,1924.27087402,79.8707317073171,57338.5,7.65
176,ESP,2005,8.01986301369863,172.35875,2060.3215332,80.1707317073171,56630.5,7.74
177,ESP,2006,7.904109589041096,160.53833333333333,2242.15869141,80.8219512195122,54124.5,7.829
178,ESP,2007,8.125342465753425,175.63250000000002,2606.27783203,80.8731707317073,54060.0,7.919
179,ESP,2008,7.795205479452055,179.48666666666668,2995.18603516,81.1756097560976,52309.5,8.382
180,ESP,2009,7.7972602739726025,185.41500000000002,2937.71826172,81.4756097560976,16458.5,9.108
181,ESP,2010,7.618493150684932,143.1763888888889,2789.63720703,81.6268292682927,15723.0,9.119
182,ESP,2011,7.419178082191781,152.75555555555556,2908.91967773,82.4756097560976,48440.5,9.168
183,ESP,2012,7.341095890410959,158.82527777777779,2590.2253418,82.4268292682927,47920.0,9.156
184,ESP,2013,7.263698630136986,163.03666666666666,2629.46679688,83.0780487804878,47795.5,9.066
185,ESP,2014,7.205479452054795,163.78472222222223,2679.4765625,83.2292682926829,47771.0,9.087
186,ESP,2015,7.213698630136986,166.68166666666667,2349.09375,82.8317073170732,11267.0,9.124
187,ESP,2016,7.532432432432433,168.38166666666666,2376.60107422,83.3292682926829,11412.0,8.949
188,ESP,2017,8.181756756756757,169.73749999999998,2524.68481445,83.2829268292683,11718.5,8.947
189,ESP,2018,9.933783783783783,175.22694444444443,2741.38256836,83.4317073170732,48320.5,8.999
190,ESP,2019,9.529054054054054,178.48861111111114,2716.83349609,83.8317073170732,47710.0,9.135
191,EST,2005,7.6326086956521735,1.9700000000000002,549.63024902,72.5682926829268,569.1,5.295
192,EST,2006,7.530434782608696,2.4386666666666668,627.18377686,72.6914634146341,563.3,4.974
193,EST,2007,7.797826086956522,3.7243333333333335,866.49945068,72.8146341463415,567.9,5.185
194,EST,2008,7.556521739130435,4.544333333333333,1082.15478516,73.7707317073171,512.7,5.957
195,EST,2009,7.293478260869565,4.431333333333334,1006.50708008,74.8243902439024,482.2,6.845
196,EST,2010,7.056521739130435,4.786666666666667,966.19024658,75.4292682926829,449.9,6.594
197,EST,2011,7.023913043478261,5.260333333333333,1061.1628418,76.2292682926829,438.3,6.078
198,EST,2012,7.297826086956522,5.502,1058.71960449,76.3268292682927,441.3,6.095
199,EST,2013,6.871739130434782,6.253611111111111,1194.86206055,77.1414634146341,387.2,6.281
200,EST,2014,7.028260869565218,6.356944444444444,1287.76123047,77.0341463414634,399.4,6.362
201,EST,2015,6.871739130434782,6.259444444444444,1156.20275879,77.590243902439,1620.5,6.641
202,EST,2016,6.923913043478261,6.746666666666666,1226.0859375,77.6414634146342,1561.0,6.702
203,EST,2017,6.876086956521739,6.8422222222222215,1350.12646484,78.0926829268293,348.2,6.597
204,EST,2018,6.8847826086956525,6.831111111111111,1553.43347168,78.2439024390244,640.5,6.691
205,EST,2019,7.0978260869565215,6.916944444444445,1599.3503418,78.6463414634147,597.0,6.772
206,FIN,2001,10.32013422818792,29.422,1810.0,77.9658536585366,5249.0,7.251
207,FIN,2002,10.46510067114094,30.84,2059.0,78.119512195122,5177.5,7.628
208,FIN,2003,10.187919463087248,30.06055555555556,2614.0,78.3682926829268,4965.0,7.938
209,FIN,2004,9.96979865771812,31.290666666666667,3044.0,78.7146341463415,4869.5,8.059
210,FIN,2005,10.121476510067113,31.988,3237.0,78.8170731707317,4733.5,8.288
211,FIN,2006,10.100671140939598,30.276666666666664,3415.0,79.2146341463415,4414.5,8.284
212,FIN,2007,10.275838926174496,39.4375,3919.0,79.2634146341464,4413.5,8.084
