,code,country,year,set_healtchare_capita_outcomes
243,AUT,Austria,2014,0.753
244,AUT,Austria,2014,100.0
245,AUT,Austria,2015,2687.866
246,AUT,Austria,2015,0.781
247,AUT,Austria,2015,100.0
248,AUT,Austria,2016,2592.713
249,AUT,Austria,2016,0.725
250,AUT,Austria,2016,100.0
251,AUT,Austria,2017,2823.501
252,AUT,Austria,2017,0.764
253,AUT,Austria,2017,100.0
254,AUT,Austria,2018,2874.125
255,AUT,Austria,2018,0.746
256,AUT,Austria,2018,100.0
257,AUT,Austria,2019,2728.955
258,AUT,Austria,2019,0.687
259,AUT,Austria,2019,100.0
260,BRA,Brazil,2015,0.29
261,BRA,Brazil,2015,100.0
262,BRA,Brazil,2015,17360.268
263,BRA,Brazil,2016,0.317
264,BRA,Brazil,2016,19887.385
265,BRA,Brazil,2016,100.0
266,BRA,Brazil,2017,100.0
267,BRA,Brazil,2017,16695.159
268,BRA,Brazil,2017,0.254
269,BRA,Brazil,2018,0.336
270,BRA,Brazil,2018,100.0
271,BRA,Brazil,2018,23560.141
272,BRA,Brazil,2019,0.292
273,BRA,Brazil,2019,100.0
274,BRA,Brazil,2019,21612.616
275,CAN,Canada,2000,0.359
276,CAN,Canada,2000,3965.522
277,CAN,Canada,2000,100.0
278,CAN,Canada,2001,0.394
279,CAN,Canada,2001,4508.707
280,CAN,Canada,2001,100.0
281,CAN,Canada,2002,0.413
282,CAN,Canada,2002,4933.038
283,CAN,Canada,2002,100.0
284,CAN,Canada,2003,0.122
285,CAN,Canada,2003,3606.7
286,CAN,Canada,2003,412.698
287,CAN,Canada,2003,0.446
288,CAN,Canada,2003,100.0
289,CAN,Canada,2003,100.0
290,CAN,Canada,2003,100.0
291,CAN,Canada,2003,1527.902
292,CAN,Canada,2003,0.004
293,CAN,Canada,2003,100.0
294,CAN,Canada,2003,5601.639
295,CAN,Canada,2003,0.287
296,CAN,Canada,2003,100.0
297,CAN,Canada,2003,0.033
298,CAN,Canada,2003,54.339
299,CAN,Canada,2004,0.085
300,CAN,Canada,2004,3918.773
301,CAN,Canada,2004,377.958
302,CAN,Canada,2004,0.413
303,CAN,Canada,2004,100.0
304,CAN,Canada,2004,100.0
305,CAN,Canada,2004,100.0
306,CAN,Canada,2004,1139.577
307,CAN,Canada,2004,0.006
308,CAN,Canada,2004,100.0
309,CAN,Canada,2004,5509.958
310,CAN,Canada,2004,0.293
311,CAN,Canada,2004,100.0
312,CAN,Canada,2004,0.028
313,CAN,Canada,2004,73.65
314,CAN,Canada,2005,0.1
315,CAN,Canada,2005,4680.389
316,CAN,Canada,2005,382.444
317,CAN,Canada,2005,0.464
318,CAN,Canada,2005,100.0
319,CAN,Canada,2005,100.0
320,CAN,Canada,2005,100.0
321,CAN,Canada,2005,1424.41
322,CAN,Canada,2005,0.008
323,CAN,Canada,2005,100.0
324,CAN,Canada,2005,6596.713
325,CAN,Canada,2005,0.329
326,CAN,Canada,2005,100.0
327,CAN,Canada,2005,0.027
328,CAN,Canada,2005,109.47
329,CAN,Canada,2006,0.1
330,CAN,Canada,2006,0.324
331,CAN,Canada,2006,5190.378
332,CAN,Canada,2006,0.003
333,CAN,Canada,2006,65.988
334,CAN,Canada,2006,111.651
335,CAN,Canada,2006,0.02
336,CAN,Canada,2006,0.229
337,CAN,Canada,2006,30.007
338,CAN,Canada,2006,69.993
339,CAN,Canada,2006,0.118
340,CAN,Canada,2006,415.734
341,CAN,Canada,2006,0.16
342,CAN,Canada,2006,3425.043
343,CAN,Canada,2006,0.484
344,CAN,Canada,2006,34.012
345,CAN,Canada,2006,1209.876
346,CAN,Canada,2006,304.083
347,CAN,Canada,2006,18.822
348,CAN,Canada,2006,100.0
349,CAN,Canada,2006,73.144
350,CAN,Canada,2006,280.526
351,CAN,Canada,2006,100.0
352,CAN,Canada,2006,81.178
353,CAN,Canada,2006,26.856
354,CAN,Canada,2006,100.0
355,CAN,Canada,2006,1765.335
356,CAN,Canada,2006,0.019
357,CAN,Canada,2006,33.052
358,CAN,Canada,2006,1490.402
359,CAN,Canada,2006,0.007
360,CAN,Canada,2006,0.01
361,CAN,Canada,2006,0.081
362,CAN,Canada,2006,100.0
363,CAN,Canada,2006,7240.972
364,CAN,Canada,2006,66.948
365,CAN,Canada,2006,43.348
366,CAN,Canada,2006,4847.68
367,CAN,Canada,2006,0.007
368,CAN,Canada,2006,101.11
369,CAN,Canada,2006,0.347
370,CAN,Canada,2006,2393.292
371,CAN,Canada,2006,100.0
372,CAN,Canada,2006,0.028
373,CAN,Canada,2006,144.458
374,CAN,Canada,2007,0.118
375,CAN,Canada,2007,0.28
376,CAN,Canada,2007,0.613
377,CAN,Canada,2007,402.625
378,CAN,Canada,2007,17.275
379,CAN,Canada,2007,100.0
380,CAN,Canada,2007,82.725
381,CAN,Canada,2007,0.003
382,CAN,Canada,2007,7075.642
383,CAN,Canada,2007,0.396
384,CAN,Canada,2007,0.026
385,CAN,Canada,2007,192.592
386,CAN,Canada,2007,62.478
387,CAN,Canada,2007,0.168
388,CAN,Canada,2007,36.756
389,CAN,Canada,2007,63.244
390,CAN,Canada,2007,4420.743
391,CAN,Canada,2007,0.217
392,CAN,Canada,2007,595.217
